[ειπεν,G3004,V-2AAI-3S,verb second aorist active indicative third person singular,ask
αγαθοποιουντες,G15,V-PAP-NPM,verb present active participle nominative plural masculine,when do good well
αγαθοποιουσαι,G15,V-PAP-NPF,verb present active participle nominative plural feminine,when do good well
αγαθοποιων,G15,V-PAP-NSM,verb present active participle nominative singular masculine,when do good well
αγαθοποιων,G17,A-GPM,adjective genitive plural masculine,them that do well
αγαθος,G18,A-NSM,adjective nominative singular masculine,benefit
αγαθου,G18,A-GSM,adjective genitive singular masculine,benefit
αγαθου,G18,A-GSN,adjective genitive singular neuter,benefit
αγαθουργων,G14,V-PAP-NSM,verb present active participle nominative singular masculine,do good
αγαθους,G18,A-APM,adjective accusative plural masculine,benefit
αγαθω,G18,A-DSN,adjective dative singular neuter,benefit
αγαθω,G18,A-DSM,adjective dative singular masculine,benefit
αγαθων,G18,A-GPN,adjective genitive plural neuter,benefit
αγαθων,G18,A-GPM,adjective genitive plural masculine,benefit
αγαθωσυνη,G19,N-NSF,noun nominative singular feminine,goodness
αγαθωσυνη,G19,N-DSF,noun dative singular feminine,goodness
αγαθωσυνης,G19,N-GSF,noun genitive singular feminine,goodness
αγαλλιαθηναι,G21,V-AON,verb aorist passive deponent infinitive,be exceeding glad
αγαλλιασει,G20,N-DSF,noun dative singular feminine,gladness
αγαλλιασεως,G20,N-GSF,noun genitive singular feminine,gladness
αγαλλιασθε,G21,V-PNM-2P,verb present middle or passive deponent imperative second person plural,be exceeding glad
αγαλλιασθε,G21,V-PNI-2P,verb present middle or passive deponent indicative second person plural,be exceeding glad
αγαλλιασθε,G21,V-PAI-2P,verb present active indicative second person plural,be exceeding glad
αγαλλιασις,G20,N-NSF,noun nominative singular feminine,gladness
αγαλλιωμεν,G21,V-PAS-1P,verb present active subjunctive first person plural,be exceeding glad
αγαλλιωμενοι,G21,V-PNP-NPM,verb present middle or passive deponent participle nominative plural masculine,be exceeding glad
αγαμοις,G22,N-DPM,noun dative plural masculine,unmarried
αγαμος,G22,N-NSF,noun nominative singular feminine,unmarried
αγαμος,G22,N-NSM,noun nominative singular masculine,unmarried
αγανακτειν,G23,V-PAN,verb present active infinitive,be much sore displeased
αγανακτησιν,G24,N-ASF,noun accusative singular feminine,indignation
αγανακτουντες,G23,V-PAP-NPM,verb present active participle nominative plural masculine,be much sore displeased
αγανακτων,G23,V-PAP-NSM,verb present active participle nominative singular masculine,be much sore displeased
αγαπα,G25,V-PAI-3S,verb present active indicative third person singular,beloveed
αγαπα,G25,V-PAS-3S,verb present active subjunctive third person singular,beloveed
αγαπαις,G26,N-DPF,noun dative plural feminine,love
αγαπαν,G25,V-PAN,verb present active infinitive,beloveed
αγαπας,G25,V-PAI-2S,verb present active indicative second person singular,beloveed
αγαπατε,G25,V-PAM-2P,verb present active imperative second person plural,beloveed
αγαπατε,G25,V-PAI-2P,verb present active indicative second person plural,beloveed
αγαπατε,G25,V-PAS-2P,verb present active subjunctive second person plural,beloveed
αγαπατω,G25,V-PAM-3S,verb present active imperative third person singular,beloveed
αγαπη,G26,N-NSF,noun nominative singular feminine,love
αγαπη,G26,N-DSF,noun dative singular feminine,love
αγαπηθησεται,G25,V-FPI-3S,verb future passive indicative third person singular,beloveed
αγαπην,G26,N-ASF,noun accusative singular feminine,love
αγαπης,G26,N-GSF,noun genitive singular feminine,love
αγαπησαντος,G25,V-AAP-GSM,verb aorist active participle genitive singular masculine,beloveed
αγαπησας,G25,V-AAP-NSM,verb aorist active participle nominative singular masculine,beloveed
αγαπησατε,G25,V-AAM-2P,verb aorist active imperative second person plural,beloveed
αγαπησει,G25,V-FAI-3S,verb future active indicative third person singular,beloveed
αγαπησεις,G25,V-FAI-2S,verb future active indicative second person singular,beloveed
αγαπησητε,G25,V-AAS-2P,verb aorist active subjunctive second person plural,beloveed
αγαπησω,G25,V-FAI-1S,verb future active indicative first person singular,beloveed
αγαπητα,G27,A-APN,adjective accusative plural neuter,dearly
αγαπητα,G27,A-NPN,adjective nominative plural neuter,dearly
αγαπητε,G27,A-VSM,adjective vocative singular masculine,dearly
αγαπητην,G27,A-ASF,adjective accusative singular feminine,dearly
αγαπητοι,G27,A-NPM,adjective nominative plural masculine,dearly
αγαπητοι,G27,A-VPM,adjective vocative plural masculine,dearly
αγαπητοις,G27,A-DPM,adjective dative plural masculine,dearly
αγαπητον,G27,A-ASM,adjective accusative singular masculine,dearly
αγαπητον,G27,A-NSN,adjective nominative singular neuter,dearly
αγαπητος,G27,A-NSM,adjective nominative singular masculine,dearly
αγαπητου,G27,A-GSM,adjective genitive singular masculine,dearly
αγαπητω,G27,A-DSM,adjective dative singular masculine,dearly
αγαπητω,G27,A-DSN,adjective dative singular neuter,dearly
αγαπω,G25,V-PAI-1S,verb present active indicative first person singular,beloveed
αγαπωμαι,G25,V-PPI-1S,verb present passive indicative first person singular,beloveed
αγαπωμεν,G25,V-PAS-1P,verb present active subjunctive first person plural,beloveed
αγαπωμεν,G25,V-PAI-1P,verb present active indicative first person plural,beloveed
αγαπων,G25,V-PAP-NSM,verb present active participle nominative singular masculine,beloveed
αγαπωντας,G25,V-PAP-APM,verb present active participle accusative plural masculine,beloveed
αγαπωντι,G25,V-PAP-DSM,verb present active participle dative singular masculine,beloveed
αγαπωντων,G25,V-PAP-GPM,verb present active participle genitive plural masculine,beloveed
αγαπωσιν,G25,V-PAI-3P,verb present active indicative third person plural,beloveed
αγαπωσιν,G25,V-PAP-DPM,verb present active participle dative plural masculine,beloveed
αγαρ,G28,N-PRI,noun proper noun indeclinable,Hagar
αγγαρευουσιν,G29,V-PAI-3P,verb present active indicative third person plural,compel to go
αγγαρευσει,G29,V-FAI-3S,verb future active indicative third person singular,compel to go
αγγειοις,G30,N-DPN,noun dative plural neuter,vessel
αγγελια,G31,N-NSF,noun nominative singular feminine,message
αγγελλουσα,G518,V-PAP-NSF,verb present active participle nominative singular feminine,bring word again
αγγελοι,G32,N-NPM,noun nominative plural masculine,messengers
αγγελοις,G32,N-DPM,noun dative plural masculine,messengers
αγγελον,G32,N-ASM,noun accusative singular masculine,messengers
αγγελος,G32,N-NSM,noun nominative singular masculine,messengers
αγγελου,G32,N-GSM,noun genitive singular masculine,messengers
αγγελους,G32,N-APM,noun accusative plural masculine,messengers
αγγελω,G32,N-DSM,noun dative singular masculine,messengers
αγγελων,G32,N-GPM,noun genitive plural masculine,messengers
αγγη,G30,N-APN,noun accusative plural neuter,vessel
αγε,G71,V-PAM-2S,verb present active imperative second person singular,be
αγει,G71,V-PAI-3S,verb present active indicative third person singular,be
αγειν,G71,V-PAN,verb present active infinitive,be
αγελη,G34,N-NSF,noun nominative singular feminine,herd
αγελην,G34,N-ASF,noun accusative singular feminine,herd
αγενεαλογητος,G35,A-NSM,adjective nominative singular masculine,without descent
αγενη,G36,A-APN,adjective accusative plural neuter,base things
αγεσθαι,G71,V-PPN,verb present passive infinitive,be
αγεσθε,G71,V-PPI-2P,verb present passive indicative second person plural,be
αγια,G40,A-NSF,adjective nominative singular feminine,most holy one
αγια,G40,A-NPN,adjective nominative plural neuter,most holy one
αγια,G40,A-DSF,adjective dative singular feminine,most holy one
αγια,G40,A-APN,adjective accusative plural neuter,most holy one
αγιαζει,G37,V-PAI-3S,verb present active indicative third person singular,hallow
αγιαζεται,G37,V-PPI-3S,verb present passive indicative third person singular,hallow
αγιαζομενοι,G37,V-PPP-NPM,verb present passive participle nominative plural masculine,hallow
αγιαζομενους,G37,V-PPP-APM,verb present passive participle accusative plural masculine,hallow
αγιαζον,G37,V-PAP-NSN,verb present active participle nominative singular neuter,hallow
αγιαζω,G37,V-PAI-1S,verb present active indicative first person singular,hallow
αγιαζων,G37,V-PAP-NSM,verb present active participle nominative singular masculine,hallow
αγιαι,G40,A-NPF,adjective nominative plural feminine,most holy one
αγιαις,G40,A-DPF,adjective dative plural feminine,most holy one
αγιαν,G40,A-ASF,adjective accusative singular feminine,most holy one
αγιας,G40,A-GSF,adjective genitive singular feminine,most holy one
αγιασαι,G37,V-AAO-3S,verb aorist active optative third person singular,hallow
αγιασας,G37,V-AAP-NSM,verb aorist active participle nominative singular masculine,hallow
αγιασατε,G37,V-AAM-2P,verb aorist active imperative second person plural,hallow
αγιαση,G37,V-AAS-3S,verb aorist active subjunctive third person singular,hallow
αγιασθητω,G37,V-APM-3S,verb aorist passive imperative third person singular,hallow
αγιασμον,G38,N-ASM,noun accusative singular masculine,holiness
αγιασμος,G38,N-NSM,noun nominative singular masculine,holiness
αγιασμω,G38,N-DSM,noun dative singular masculine,holiness
αγιασον,G37,V-AAM-2S,verb aorist active imperative second person singular,hallow
αγιε,G40,A-VSM,adjective vocative singular masculine,most holy one
αγιοι,G40,A-NPM,adjective nominative plural masculine,most holy one
αγιοι,G40,A-VPM,adjective vocative plural masculine,most holy one
αγιοις,G40,A-DPM,adjective dative plural masculine,most holy one
αγιον,G40,A-ASN,adjective accusative singular neuter,most holy one
αγιον,G40,A-ASM,adjective accusative singular masculine,most holy one
αγιον,G40,A-NSN,adjective nominative singular neuter,most holy one
αγιος,G40,A-NSM,adjective nominative singular masculine,most holy one
αγιοτητι,G41,N-DSF,noun dative singular feminine,holiness
αγιοτητος,G41,N-GSF,noun genitive singular feminine,holiness
αγιου,G40,A-GSN,adjective genitive singular neuter,most holy one
αγιου,G40,A-GSM,adjective genitive singular masculine,most holy one
αγιους,G40,A-APM,adjective accusative plural masculine,most holy one
αγιω,G40,A-DSN,adjective dative singular neuter,most holy one
αγιω,G40,A-DSM,adjective dative singular masculine,most holy one
αγιων,G40,A-GPM,adjective genitive plural masculine,most holy one
αγιων,G40,A-GPN,adjective genitive plural neuter,most holy one
αγιωσυνη,G42,N-DSF,noun dative singular feminine,holiness
αγιωσυνην,G42,N-ASF,noun accusative singular feminine,holiness
αγιωσυνης,G42,N-GSF,noun genitive singular feminine,holiness
αγιωτατη,G40,A-DSF-S,adjective dative singular feminine,most holy one
αγκαλας,G43,N-APF,noun accusative plural feminine,arm
αγκιστρον,G44,N-ASN,noun accusative singular neuter,hook
αγκυραν,G45,N-ASF,noun accusative singular feminine,anchor
αγκυρας,G45,N-APF,noun accusative plural feminine,anchor
αγνα,G53,A-NPN,adjective nominative plural neuter,chaste
αγνας,G53,A-APF,adjective accusative plural feminine,chaste
αγναφου,G46,A-GSN,adjective genitive singular neuter,new
αγνεια,G47,N-DSF,noun dative singular feminine,purity
αγνη,G53,A-NSF,adjective nominative singular feminine,chaste
αγνην,G53,A-ASF,adjective accusative singular feminine,chaste
αγνιζει,G48,V-PAI-3S,verb present active indicative third person singular,purify self
αγνισατε,G48,V-AAM-2P,verb aorist active imperative second person plural,purify self
αγνισθεις,G48,V-APP-NSM,verb aorist passive participle nominative singular masculine,purify self
αγνισθητι,G48,V-APM-2S,verb aorist passive imperative second person singular,purify self
αγνισμου,G49,N-GSM,noun genitive singular masculine,purification
αγνισωσιν,G48,V-AAS-3P,verb aorist active subjunctive third person plural,purify self
αγνοει,G50,V-PAI-3S,verb present active indicative third person singular,be ignorantly
αγνοειν,G50,V-PAN,verb present active infinitive,be ignorantly
αγνοειται,G50,V-PPI-3S,verb present passive indicative third person singular,be ignorantly
αγνοειτε,G50,V-PAI-2P,verb present active indicative second person plural,be ignorantly
αγνοηματων,G51,N-GPN,noun genitive plural neuter,error
αγνοησαντες,G50,V-AAP-NPM,verb aorist active participle nominative plural masculine,be ignorantly
αγνοια,G52,N-DSF,noun dative singular feminine,ignorance
αγνοιαν,G52,N-ASF,noun accusative singular feminine,ignorance
αγνοιας,G52,N-GSF,noun genitive singular feminine,ignorance
αγνον,G53,A-ASM,adjective accusative singular masculine,chaste
αγνοουμεν,G50,V-PAI-1P,verb present active indicative first person plural,be ignorantly
αγνοουμενοι,G50,V-PPP-NPM,verb present passive participle nominative plural masculine,be ignorantly
αγνοουμενος,G50,V-PPP-NSM,verb present passive participle nominative singular masculine,be ignorantly
αγνοουντες,G50,V-PAP-NPM,verb present active participle nominative plural masculine,be ignorantly
αγνοουσιν,G50,V-PAP-DPM,verb present active participle dative plural masculine,be ignorantly
αγνοουσιν,G50,V-PAI-3P,verb present active indicative third person plural,be ignorantly
αγνος,G53,A-NSM,adjective nominative singular masculine,chaste
αγνοτητι,G54,N-DSF,noun dative singular feminine,pureness
αγνους,G53,A-APM,adjective accusative plural masculine,chaste
αγνοων,G50,V-PAP-NSM,verb present active participle nominative singular masculine,be ignorantly
αγνως,G55,ADV,adverb,sincerely
αγνωσιαν,G56,N-ASF,noun accusative singular feminine,ignorance
αγνωστω,G57,A-DSM,adjective dative singular masculine,unknown
αγομενα,G71,V-PPP-APN,verb present passive participle accusative plural neuter,be
αγονται,G71,V-PPI-3P,verb present passive indicative third person plural,be
αγοντες,G71,V-PAP-NPM,verb present active participle nominative plural masculine,be
αγορα,G58,N-DSF,noun dative singular feminine,marketplace
αγοραζει,G59,V-PAI-3S,verb present active indicative third person singular,buy
αγοραζοντας,G59,V-PAP-APM,verb present active participle accusative plural masculine,buy
αγοραζοντες,G59,V-PAP-NPM,verb present active participle nominative plural masculine,buy
αγοραιοι,G60,A-NPF,adjective nominative plural feminine,baser sort
αγοραις,G58,N-DPF,noun dative plural feminine,marketplace
αγοραιων,G60,A-GPM,adjective genitive plural masculine,baser sort
αγοραν,G58,N-ASF,noun accusative singular feminine,marketplace
αγορας,G58,N-GSF,noun genitive singular feminine,marketplace
αγορασαι,G59,V-AAN,verb aorist active infinitive,buy
αγορασαντα,G59,V-AAP-ASM,verb aorist active participle accusative singular masculine,buy
αγορασας,G59,V-AAP-NSM,verb aorist active participle nominative singular masculine,buy
αγορασατε,G59,V-AAM-2P,verb aorist active imperative second person plural,buy
αγορασατω,G59,V-AAM-3S,verb aorist active imperative third person singular,buy
αγορασον,G59,V-AAM-2S,verb aorist active imperative second person singular,buy
αγορασωμεν,G59,V-AAS-1P,verb aorist active subjunctive first person plural,buy
αγορασωσιν,G59,V-AAS-3P,verb aorist active subjunctive third person plural,buy
αγουσι,G71,V-PAI-3P,verb present active indicative third person plural,be
αγουσιν,G71,V-PAI-3P,verb present active indicative third person plural,be
αγρα,G61,N-DSF,noun dative singular feminine,draught
αγραμματοι,G62,A-NPM,adjective nominative plural masculine,unlearned
αγραν,G61,N-ASF,noun accusative singular feminine,draught
αγραυλουντες,G63,V-PAP-NPM,verb present active participle nominative plural masculine,abide in the field
αγρευσωσιν,G64,V-AAS-3P,verb aorist active subjunctive third person plural,catch
αγρια,G66,A-NPN,adjective nominative plural neuter,wild
αγριελαιος,G65,N-NSF,noun nominative singular feminine,olive tree which is wild
αγριελαιου,G65,N-GSF,noun genitive singular feminine,olive tree which is wild
αγριον,G66,A-NSN,adjective nominative singular neuter,wild
αγριον,G66,A-ASN,adjective accusative singular neuter,wild
αγριππα,G67,N-GSM,noun genitive singular masculine,Agrippa
αγριππα,G67,N-VSM,noun vocative singular masculine,Agrippa
αγριππας,G67,N-NSM,noun nominative singular masculine,Agrippa
αγρον,G68,N-ASM,noun accusative singular masculine,country
αγρος,G68,N-NSM,noun nominative singular masculine,country
αγρου,G68,N-GSM,noun genitive singular masculine,country
αγρους,G68,N-APM,noun accusative plural masculine,country
αγρυπνειτε,G69,V-PAM-2P,verb present active imperative second person plural,watch
αγρυπνιαις,G70,N-DPF,noun dative plural feminine,watch
αγρυπνουντες,G69,V-PAP-NPM,verb present active participle nominative plural masculine,watch
αγρυπνουσιν,G69,V-PAI-3P,verb present active indicative third person plural,watch
αγρω,G68,N-DSM,noun dative singular masculine,country
αγρων,G68,N-GPM,noun genitive plural masculine,country
αγω,G71,V-PAI-1S,verb present active indicative first person singular,be
αγωγη,G72,N-DSF,noun dative singular feminine,manner of life
αγωμεν,G71,V-PAS-1P,verb present active subjunctive first person plural,be
αγωνα,G73,N-ASM,noun accusative singular masculine,conflict
αγωνι,G73,N-DSM,noun dative singular masculine,conflict
αγωνια,G74,N-DSF,noun dative singular feminine,agony
αγωνιζεσθε,G75,V-PNM-2P,verb present middle or passive deponent imperative second person plural,fight
αγωνιζομεθα,G75,V-PNI-1P,verb present middle or passive deponent indicative first person plural,fight
αγωνιζομενος,G75,V-PNP-NSM,verb present middle or passive deponent participle nominative singular masculine,fight
αγωνιζου,G75,V-PNM-2S,verb present middle or passive deponent imperative second person singular,fight
αγωσιν,G71,V-PAS-3P,verb present active subjunctive third person plural,be
αδαμ,G76,N-PRI,noun proper noun indeclinable,Adam
αδαπανον,G77,A-ASN,adjective accusative singular neuter,without expense
αδδει,G78,N-PRI,noun proper noun indeclinable,Addi
αδελφαι,G79,N-NPF,noun nominative plural feminine,sister
αδελφας,G79,N-APF,noun accusative plural feminine,sister
αδελφε,G80,N-VSM,noun vocative singular masculine,brother
αδελφη,G79,N-NSF,noun nominative singular feminine,sister
αδελφη,G79,N-DSF,noun dative singular feminine,sister
αδελφην,G79,N-ASF,noun accusative singular feminine,sister
αδελφης,G79,N-GSF,noun genitive singular feminine,sister
αδελφοι,G80,N-NPM,noun nominative plural masculine,brother
αδελφοι,G80,N-VPM,noun vocative plural masculine,brother
αδελφοις,G80,N-DPM,noun dative plural masculine,brother
αδελφον,G80,N-ASM,noun accusative singular masculine,brother
αδελφος,G80,N-NSM,noun nominative singular masculine,brother
αδελφοτητα,G81,N-ASF,noun accusative singular feminine,brethren
αδελφοτητι,G81,N-DSF,noun dative singular feminine,brethren
αδελφου,G80,N-GSM,noun genitive singular masculine,brother
αδελφους,G80,N-APM,noun accusative plural masculine,brother
αδελφω,G80,N-DSM,noun dative singular masculine,brother
αδελφων,G80,N-GPM,noun genitive plural masculine,brother
αδη,G86,N-DSM,noun dative singular masculine,grave
αδηλα,G82,A-NPN,adjective nominative plural neuter,appear not
αδηλον,G82,A-ASF,adjective accusative singular feminine,appear not
αδηλοτητι,G83,N-DSF,noun dative singular feminine,X uncertain
αδηλως,G84,ADV,adverb,uncertainly
αδημονειν,G85,V-PAN,verb present active infinitive,be full of heaviness
αδημονων,G85,V-PAP-NSM,verb present active participle nominative singular masculine,be full of heaviness
αδην,G86,N-ASM,noun accusative singular masculine,grave
αδης,G86,N-NSM,noun nominative singular masculine,grave
αδιακριτος,G87,A-NSF,adjective nominative singular feminine,without partiality
αδιαλειπτον,G88,A-ASF,adjective accusative singular feminine,without ceasing
αδιαλειπτος,G88,A-NSF,adjective nominative singular feminine,without ceasing
αδιαλειπτως,G89,ADV,adverb,without ceasing
αδικεισθε,G91,V-PPI-2P,verb present passive indicative second person plural,hurt
αδικειτε,G91,V-PAI-2P,verb present active indicative second person plural,hurt
αδικηθεντος,G91,V-APP-GSM,verb aorist passive participle genitive singular masculine,hurt
αδικηθη,G91,V-APS-3S,verb aorist passive subjunctive third person singular,hurt
αδικημα,G92,N-NSN,noun nominative singular neuter,evil doing
αδικημα,G92,N-ASN,noun accusative singular neuter,evil doing
αδικηματα,G92,N-APN,noun accusative plural neuter,evil doing
αδικησαι,G91,V-AAN,verb aorist active infinitive,hurt
αδικησαντος,G91,V-AAP-GSM,verb aorist active participle genitive singular masculine,hurt
αδικησατω,G91,V-AAM-3S,verb aorist active imperative third person singular,hurt
αδικησει,G91,V-FAI-3S,verb future active indicative third person singular,hurt
αδικησης,G91,V-AAS-2S,verb aorist active subjunctive second person singular,hurt
αδικησητε,G91,V-AAS-2P,verb aorist active subjunctive second person plural,hurt
αδικησουσιν,G91,V-FAI-3P,verb future active indicative third person plural,hurt
αδικια,G93,N-NSF,noun nominative singular feminine,iniquity
αδικια,G93,N-DSF,noun dative singular feminine,iniquity
αδικιαις,G93,N-DPF,noun dative plural feminine,iniquity
αδικιαν,G93,N-ASF,noun accusative singular feminine,iniquity
αδικιας,G93,N-GSF,noun genitive singular feminine,iniquity
αδικοι,G94,A-NPM,adjective nominative plural masculine,unjust
αδικος,G94,A-NSM,adjective nominative singular masculine,unjust
αδικουμενον,G91,V-PPP-ASM,verb present passive participle accusative singular masculine,hurt
αδικους,G94,A-APM,adjective accusative plural masculine,unjust
αδικουσιν,G91,V-PAI-3P,verb present active indicative third person plural,hurt
αδικω,G91,V-PAI-1S,verb present active indicative first person singular,hurt
αδικω,G94,A-DSM,adjective dative singular masculine,unjust
αδικων,G91,V-PAP-NSM,verb present active participle nominative singular masculine,hurt
αδικων,G94,A-GPM,adjective genitive plural masculine,unjust
αδικως,G95,ADV,adverb,wrongfully
αδμειν,G284,N-PRI,noun proper noun indeclinable,Aminadab
αδοκιμοι,G96,A-NPM,adjective nominative plural masculine,castaway
αδοκιμον,G96,A-ASM,adjective accusative singular masculine,castaway
αδοκιμος,G96,A-NSM,adjective nominative singular masculine,castaway
αδοκιμος,G96,A-NSF,adjective nominative singular feminine,castaway
αδολον,G97,A-ASN,adjective accusative singular neuter,sincere
αδοντες,G103,V-PAP-NPM,verb present active participle nominative plural masculine,sing
αδου,G86,N-GSM,noun genitive singular masculine,grave
αδουσιν,G103,V-PAI-3P,verb present active indicative third person plural,sing
αδραμυττηνω,G98,A-DSN,adjective dative singular neuter,of Adramyttium
αδρια,G99,N-DSM,noun dative singular masculine,Adria
αδροτητι,G100,N-DSF,noun dative singular feminine,abundance
αδυνατα,G102,A-NPN,adjective nominative plural neuter,could not do
αδυνατησει,G101,V-FAI-3S,verb future active indicative third person singular,be impossible
αδυνατον,G102,A-NSN,adjective nominative singular neuter,could not do
αδυνατον,G102,A-ASN,adjective accusative singular neuter,could not do
αδυνατος,G102,A-NSM,adjective nominative singular masculine,could not do
αδυνατων,G102,A-GPM,adjective genitive plural masculine,could not do
αει,G104,ADV,adverb,always
αερα,G109,N-ASM,noun accusative singular masculine,air
αερος,G109,N-GSM,noun genitive singular masculine,air
αετοι,G105,N-NPM,noun nominative plural masculine,eagle
αετου,G105,N-GSM,noun genitive singular masculine,eagle
αετω,G105,N-DSM,noun dative singular masculine,eagle
αζυμα,G106,A-NPN,adjective nominative plural neuter,unleavened bread
αζυμοι,G106,A-NPM,adjective nominative plural masculine,unleavened bread
αζυμοις,G106,A-DPN,adjective dative plural neuter,unleavened bread
αζυμων,G106,A-GPN,adjective genitive plural neuter,unleavened bread
αζωρ,G107,N-PRI,noun proper noun indeclinable,Azorigin
αζωτον,G108,N-ASF,noun accusative singular feminine,Azotus
αηρ,G109,N-NSM,noun nominative singular masculine,air
αθα,G3134,ARAM,aramaic,Maranatha
αθανασιαν,G110,N-ASF,noun accusative singular feminine,immortality
αθεμιτοις,G111,A-DPF,adjective dative plural feminine,abominable
αθεμιτον,G111,A-NSN,adjective nominative singular neuter,abominable
αθεοι,G112,A-NPM,adjective nominative plural masculine,without God
αθεσμων,G113,A-GPM,adjective genitive plural masculine,wicked
αθετει,G114,V-PAI-3S,verb present active indicative third person singular,cast off
αθετειτε,G114,V-PAI-2P,verb present active indicative second person plural,cast off
αθετησαι,G114,V-AAN,verb aorist active infinitive,cast off
αθετησας,G114,V-AAP-NSM,verb aorist active participle nominative singular masculine,cast off
αθετησιν,G115,N-ASF,noun accusative singular feminine,disannulling
αθετησις,G115,N-NSF,noun nominative singular feminine,disannulling
αθετησω,G114,V-FAI-1S,verb future active indicative first person singular,cast off
αθετουσιν,G114,V-PAI-3P,verb present active indicative third person plural,cast off
αθετω,G114,V-PAI-1S,verb present active indicative first person singular,cast off
αθετων,G114,V-PAP-NSM,verb present active participle nominative singular masculine,cast off
αθηναιοι,G117,A-NPM,adjective nominative plural masculine,Athenian
αθηναιοι,G117,A-VPM,adjective vocative plural masculine,Athenian
αθηναις,G116,N-DPF,noun dative plural feminine,Athens
αθηνων,G116,N-GPF,noun genitive plural feminine,Athens
αθλη,G118,V-PAS-3S,verb present active subjunctive third person singular,strive
αθληση,G118,V-AAS-3S,verb aorist active subjunctive third person singular,strive
αθλησιν,G119,N-ASF,noun accusative singular feminine,fight
αθυμωσιν,G120,V-PAS-3P,verb present active subjunctive third person plural,be dismayed
αθωον,G121,A-ASN,adjective accusative singular neuter,innocent
αθωος,G121,A-NSM,adjective nominative singular masculine,innocent
αι,G3588,T-NPF,article nominative plural feminine,to
αι,G3739,R-NPF,relative pronoun nominative plural feminine,one
αιγειοις,G122,A-DPN,adjective dative plural neuter,goat
αιγιαλον,G123,N-ASM,noun accusative singular masculine,shore
αιγυπτιοι,G124,A-NPM,adjective nominative plural masculine,Egyptian
αιγυπτιον,G124,A-ASM,adjective accusative singular masculine,Egyptian
αιγυπτιος,G124,A-NSM,adjective nominative singular masculine,Egyptian
αιγυπτιων,G124,A-GPM,adjective genitive plural masculine,Egyptian
αιγυπτον,G125,N-ASF,noun accusative singular feminine,Egypt
αιγυπτος,G125,N-NSF,noun nominative singular feminine,Egypt
αιγυπτου,G125,N-GSF,noun genitive singular feminine,Egypt
αιγυπτω,G125,N-DSF,noun dative singular feminine,Egypt
αιδιοις,G126,A-DPM,adjective dative plural masculine,eternal
αιδιος,G126,A-NSF,adjective nominative singular feminine,eternal
αιδους,G127,N-GSF,noun genitive singular feminine,reverence
